Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC18605,,NM_003357,SCGB1A1,81,,,,yes
HC18606,ENSG00000149503,NM_020238,INCENP,1659,-2283.27,-2293.85,1,yes
HC18607,ENSG00000124935,NM_006551,SCGB1D2,261,-379.488,-379.525,1,yes
HC18608,ENSG00000149016,NM_022830,EEF1G,2220,-3014.75,-3014.92,1,yes
HC18609,ENSG00000134850,,KIAA0635,1560,-2035.88,-2036.68,1,no
HC18610,ENSG00000109265,XM_044178,,1104,-1486.11,-1486.44,1,no
HC18611,ENSG00000137869,"NM_000103,NM_031226",CYP19A1,1296,-1754.32,-1754.54,,yes
HC18612,ENSG00000092439,NM_017672,TRPM7,3729,-5000.77,-5007.97,1,yes
HC18613,ENSG00000162670,NM_199051,,1323,-1823.81,-1831.38,1,yes
HC18614,ENSG00000116698,NM_173156,,2346,-3210.27,-3212.89,1,yes
HC18615,ENSG00000134297,NM_015899,LOC51054,1002,-1386.99,-1387.53,0.231574,no
HC18616,ENSG00000101266,"NM_001895,NM_177559",CSNK2A1,984,-1328.75,-1330,,no
HC18617,ENSG00000101280,NM_015985,ANGPT4,1104,-1485.68,-1488.97,1,yes
HC18618,ENSG00000101278,,,525,-763.986,-764.584,1,no
HC18619,ENSG00000101276,NM_033409,C20orf54,843,-1123.51,-1127.35,1,yes
HC18620,ENSG00000125796,NM_153269,C20orf96,627,-835.102,-835.435,,yes
HC18621,ENSG00000125841,NM_024958,C20orf98,603,-808.679,-808.981,,yes
HC18622,ENSG00000125875,NM_144628,C20orf140,1119,-1552.17,-1557.31,1,yes
HC18623,ENSG00000101255,NM_021158,C20orf97,1014,-1461.79,-1465.73,1,yes
HC18624,ENSG00000125903,NM_080831,DEFB129,153,-183.558,-183.558,,yes
HC18625,,,DEFB127,45,,,,yes
HC18626,ENSG00000101282,XM_297816,,510,-683.158,-684.034,0.227043,no
HC18627,,,,633,-861.358,-861.375,1,no
HC18628,ENSG00000116679,NM_006469,IVNS1ABP,1875,-2541.73,-2543.09,1,yes
HC18629,ENSG00000121486,NM_030934,C1orf25,1740,-2371.78,-2372.21,1,yes
HC18630,ENSG00000181518,XM_291838,,624,-864.729,-865.235,1,no
HC18631,,,,1674,-2262.65,-2270.04,1,no
HC18632,ENSG00000166257,NM_018400,SCN3B,429,-585.667,-591.339,1,yes
HC18633,ENSG00000072832,NM_001313,CRMP1,1380,-1853.18,-1855.78,1,yes
HC18634,ENSG00000072840,"NM_014556,NM_153717",EVC,1758,-2396.71,-2405.57,1,yes
HC18635,ENSG00000090104,NM_002922,RGS1,576,-761.785,-761.785,,yes
HC18636,,,,465,-630.634,-630.884,1,no
HC18637,ENSG00000116750,NM_015984,UCHL5,762,-1002.02,-1002.02,,yes
HC18638,,,,705,-1049.59,-1049.96,0.185158,no
HC18639,ENSG00000164100,NM_004784,NDST3,2607,-3541.75,-3542.65,1,yes
HC18640,ENSG00000121957,,LGN,1449,-1977.7,-1978.98,1,yes
HC18641,ENSG00000031698,NM_006513,SARS,1338,-1795.96,-1796.17,,yes
HC18642,ENSG00000143106,NM_002790,PSMA5,402,-544.458,-545.703,,yes
HC18643,,NM_020141,AD-020,210,-277.502,-277.502,,yes
HC18644,,XM_291485,,270,-362.992,-364.07,,no
HC18645,ENSG00000134186,NM_018061,FLJ10330,1269,-1609.42,-1609.42,,yes
HC18646,ENSG00000116299,NM_020775,,468,-631.263,-632.609,,yes
HC18647,ENSG00000134222,NM_032636,DDA3,687,-932.049,-932.908,,yes
HC18648,ENSG00000121940,NM_015127,MCLC,1350,-1852.75,-1852.93,1,yes
HC18649,ENSG00000162639,NM_144584,FLJ30525,1047,-1428.89,-1429.81,1,yes
HC18650,ENSG00000116299,NM_020775,,462,-623.582,-623.971,,yes
HC18651,,XM_059104,,504,-688.237,-689.174,1,no
HC18652,ENSG00000143028,XM_371278,,540,-728.257,-732.622,1,no
HC18653,,,,252,-343.007,-343.351,,yes
HC18654,ENSG00000120729,NM_006790,TTID,1140,-1575.56,-1575.61,1,yes
HC18655,ENSG00000094880,NM_004661,CDC23,825,-1116.59,-1116.74,,yes
HC18656,ENSG00000112984,NM_005733,KIF20A,2364,-3229.42,-3229.48,1,yes
HC18657,ENSG00000112983,NM_006696,BRD8,2109,-2859.85,-2860.33,1,yes
HC18658,ENSG00000112981,NM_003551,NME5,225,-309.789,-311.102,1,yes
HC18659,ENSG00000061492,"NM_031933,NM_058244",WNT8A,1035,-1427.19,-1429.34,1,yes
HC18660,ENSG00000158473,NM_001766,CD1D,426,-598.92,-598.997,1,yes
HC18661,ENSG00000158481,NM_001765,CD1C,873,-1236.48,-1237.02,1,yes
HC18662,ENSG00000158485,NM_001764,CD1B,825,-1166.14,-1166.58,1,yes
HC18663,ENSG00000163554,NM_003126,SPTA1,4551,-6448.35,-6449.34,1,yes
HC18664,,XM_291548,,738,-991.764,-991.764,1,no
HC18665,ENSG00000163534,NM_052938,FCRH1,375,-508.344,-509.707,,yes
HC18666,ENSG00000183853,,KIRREL,1518,-2016.26,-2017.66,,yes
HC18667,ENSG00000184674,NM_000853,GSTT1,360,-464.501,-464.501,,yes
HC18668,ENSG00000100478,,AP4S1,216,-282.491,-282.491,,yes
HC18669,ENSG00000173372,NM_015991,C1QA,696,-938.949,-938.958,1,yes
HC18670,,,,438,-628.668,-629.449,0.174129,no
HC18671,ENSG00000070831,NM_001791,CDC42,570,-766.709,-767.97,,yes
HC18672,ENSG00000173369,NM_000491,C1QB,747,-1019.16,-1020.31,1,yes
HC18673,ENSG00000159189,NM_172369,C1QA,255,-339.308,-339.557,,yes
HC18674,ENSG00000162552,NM_030761,WNT4,804,-1053.93,-1058.99,1,yes
HC18675,ENSG00000142798,NM_005529,HSPG2,10101,-14326.1,-14408.2,1,yes
HC18676,ENSG00000070886,NM_020526,EPHA8,1884,-2494.82,-2512.85,1,yes
HC18677,ENSG00000151746,NM_001714,BICD1,2619,-3539.38,-3545.27,1,yes
HC18678,,,FRABIN,1851,-2521.1,-2521.74,1,yes
HC18679,ENSG00000121933,NM_000677,ADORA3,918,-1205.51,-1206.78,,yes
HC18680,,XM_371281,,189,-272.279,-272.279,1,no
HC18681,ENSG00000085465,NM_002557,OVGP1,1335,-1938.28,-1938.3,0.431548,yes
HC18682,ENSG00000116459,NM_001688,ATP5F1,432,-574.942,-574.942,,yes
HC18683,ENSG00000121931,NM_018372,FLJ11269,606,-802.598,-802.887,,yes
HC18684,ENSG00000134216,,CHIA,699,-964.685,-965.597,1,yes
HC18685,,,CD53,525,-704.92,-706.148,,yes
HC18686,ENSG00000162777,NM_024901,FLJ22457,1227,-1678.41,-1680.27,1,yes
HC18687,ENSG00000156171,,,0,,,,yes
HC18688,ENSG00000116455,NM_024102,MEP50,744,-1024.46,-1024.47,1,yes
HC18689,,XM_372900,,267,-340.007,-340.007,,no
HC18690,,,DKFZp762L0311,681,-946.888,-946.924,1,yes
HC18691,,NM_006529,GLRA3,1278,-1751.74,-1758.21,1,yes
HC18692,ENSG00000164118,NM_030633,,900,-1222.62,-1224.26,1,yes
HC18693,ENSG00000128271,NM_000675,ADORA2A,876,-1169.02,-1171.5,1,yes
HC18694,,,,339,-484.414,-484.463,1,yes
HC18695,,,RFPL3,570,-800.787,-800.804,0.575361,yes
HC18696,ENSG00000080189,"NM_015945,NM_173179",OVCOV1,927,-1210.47,-1216.15,1,yes
HC18697,ENSG00000149654,NM_021248,CDH22,816,-1092.95,-1098.59,1,yes
HC18698,ENSG00000101080,NM_018102,ZNF334,1320,-1762.22,-1762.44,,yes
HC18699,,XM_293106,,1875,-2561.5,-2562.37,1,no
HC18700,ENSG00000172315,NM_033550,SLC13A3,603,-824.212,-826.293,1,yes
HC18701,ENSG00000124160,NM_020967,NCOA5,1503,-2057.74,-2058.59,1,yes
HC18702,ENSG00000017053,NM_030777,SLC2A10,1200,-1641.6,-1653.5,1,yes
HC18703,ENSG00000158296,NM_022829,SLC13A3,543,-731.522,-734.317,,yes
HC18704,ENSG00000101080,NM_022095,ZNF335,2754,-3759.48,-3767.71,1,yes
HC18705,ENSG00000124140,NM_020708,SLC12A5,2565,-3421.44,-3428.61,1,yes
HC18706,ENSG00000100982,NM_022104,C20orf67,1620,-2169.78,-2171.02,1,yes
HC18707,ENSG00000100292,NM_002133,HMOX1,564,-747.479,-753.833,1,yes
HC18708,ENSG00000100365,NM_000631,NCF4,903,-1219.95,-1225.17,1,yes
HC18709,ENSG00000100055,NM_013385,PSCD4,960,-1283.64,-1296.32,1,yes
HC18710,ENSG00000137845,NM_001110,ADAM10,1077,-1448.57,-1448.89,,yes
HC18711,ENSG00000182625,,,198,-276.067,-276.264,,no
HC18712,ENSG00000103569,NM_020980,AQP9,645,-914.581,-914.657,1,yes
HC18713,,,,537,-715.175,-717.67,,yes
HC18714,ENSG00000128845,NM_020739,,1890,-2524.82,-2526.22,1,yes
HC18715,ENSG00000069943,NM_004855,CPR8,945,-1285.02,-1285.48,1,yes
HC18716,,XM_370866,,1323,-1808.63,-1812.44,1,no
HC18717,ENSG00000137876,NM_016304,C15orf15,216,-281.545,-281.545,,yes
HC18718,ENSG00000069869,NM_006154,,1791,-2441.65,-2443.74,1,yes
HC18719,ENSG00000095739,NM_012342,NMA,678,-945.058,-946.871,1,yes
HC18720,ENSG00000120563,NM_032517,,306,-417.37,-418.68,,yes
HC18721,ENSG00000100321,"NM_145731,NM_145738",SYNGR1,462,-564.301,-564.301,,yes
HC18722,ENSG00000100357,NM_000026,ADSL,1398,-1949.75,-1950.42,1,yes
HC18723,ENSG00000095756,NM_021738,SVIL,2031,-2863.46,-2867.1,1,yes
HC18724,,,,186,-242.686,-242.686,,no
HC18725,ENSG00000100300,NM_000714,BZRP,348,-458.311,-458.4,1,yes
HC18726,,"NM_001585,XM_371471",C22orf1,405,-505.153,-505.153,,yes
HC18727,ENSG00000182541,NM_005569,LIMK2,1479,-2025.79,-2034.14,1,yes
HC18728,ENSG00000104177,NM_016132,MYEF2,1440,-1925.56,-1926.66,0.236125,yes
HC18729,ENSG00000137872,NM_020858,SEMA6D,2700,-3728,-3732.7,1,yes
HC18730,,NM_205850,,672,-913.336,-914.625,,yes
HC18731,ENSG00000133422,,KIAA0852,2718,-3702.02,-3710.5,1,no
HC18732,ENSG00000184117,NM_003634,NIPSNAP1,726,-959.019,-962.039,,yes
HC18733,ENSG00000100249,NM_015370,HS747E2A,729,-1009.23,-1010.05,1,yes
HC18734,,NM_019099,LOC55924,825,-1133.26,-1138.18,1,yes
HC18735,ENSG00000171385,"NM_004980,NM_172198",KCND3,1803,-2335.2,-2340.49,1,yes
HC18736,ENSG00000134245,NM_024494,WNT2B,852,-1161.55,-1165.32,1,yes
HC18737,ENSG00000169184,NM_002430,MN1,1995,-2641.17,-2648.61,1,no
HC18738,ENSG00000100109,NM_012143,TFIP11,2139,-2863.43,-2873.13,1,yes
HC18739,ENSG00000169372,NM_003805,CRADD,543,-730.288,-731.177,1,yes
HC18740,ENSG00000120833,NM_003877,SOCS2,300,-405.758,-405.758,,yes
HC18741,ENSG00000136040,NM_005761,PLXNC1,3030,-4148.82,-4149.39,1,yes
HC18742,ENSG00000100077,,ADRBK2,1821,-2473.04,-2479.24,1,yes
HC18743,ENSG00000115159,NM_000408,GPD2,1113,-1499.37,-1502.02,,yes
HC18744,ENSG00000101146,NM_003610,,918,-1280.3,-1290.81,1,yes
HC18745,ENSG00000054796,NM_012444,SPO11,627,-856.161,-856.79,,yes
HC18746,ENSG00000101144,NM_001719,BMP7,918,-1166.99,-1170.7,,no
HC18747,ENSG00000124225,,TMEPAI,426,-574.965,-577.466,1,no
HC18748,ENSG00000124256,NM_030776,ZBP1,822,-1163.94,-1164.23,1,yes
HC18749,ENSG00000132819,NM_017495,,123,,,,yes
HC18750,ENSG00000163902,NM_002950,RPN1,909,-1228.55,-1228.75,,yes
HC18751,,,SELB,972,-1311.25,-1315.75,1,yes
HC18752,ENSG00000159231,NM_001236,CBR3,816,-1098.48,-1103.94,1,yes
HC18753,,,SEC61A1,1350,-1842.3,-1849.73,1,yes
HC18754,ENSG00000159228,NM_001757,CBR1,387,-534.623,-538.244,1,yes
HC18755,ENSG00000142197,NM_005128,C21orf5,4152,-5688.47,-5697.46,1,yes
HC18756,,,,1398,-1875.82,-1876.72,1,yes
HC18757,ENSG00000175792,NM_003707,RUVBL1,972,-1295.65,-1296.87,,yes
HC18758,,,HMGN3,231,-275.466,-275.466,,yes
HC18759,ENSG00000011201,NM_000216,KAL1,759,-1043.68,-1043.89,,yes
HC18760,,,C6orf37,402,-547.768,-549.03,,yes
HC18761,ENSG00000159263,NM_005069,SIM2,1242,-1712.73,-1716.48,1,yes
HC18762,,,,135,,,,no
HC18763,ENSG00000154654,NM_004540,NCAM2,1503,-2052.25,-2054.71,1,yes
HC18764,ENSG00000135318,NM_002526,NT5E,1458,-2012.2,-2014.93,1,yes
HC18765,ENSG00000135316,NM_006372,NSAP1,1434,-1870.05,-1871.55,,no
HC18766,ENSG00000013375,NM_015599,PGM3,1479,-2009.45,-2011.52,1,yes
HC18767,ENSG00000146242,NM_006670,TPBG,375,-503.562,-503.562,,yes
HC18768,ENSG00000118420,NM_198920,,765,-1105.63,-1105.7,1,yes
HC18769,ENSG00000101849,NM_005647,TBL1X,1134,-1560.68,-1568.63,1,yes
HC18770,ENSG00000151575,NM_198524,,774,-1016.59,-1016.89,,yes
HC18771,ENSG00000101850,NM_000273,OA1,894,-1224.85,-1225.03,,yes
HC18772,ENSG00000155304,NM_006948,STCH,21,,,,yes
HC18773,ENSG00000180530,NM_003489,NRIP1,2973,-4113.49,-4118.82,1,yes
HC18774,ENSG00000185272,,RBM11,96,,,,yes
HC18775,ENSG00000155307,NM_022136,SAMSN1,1110,-1538.87,-1539.09,1,yes
HC18776,ENSG00000138587,NM_018365,MNS1,1113,-1375.35,-1375.36,1,yes
HC18777,ENSG00000135324,NM_138409,LOC112609,393,-528.2,-528.2,,yes
HC18778,ENSG00000065609,,SNAP91,2058,-2698,-2699.2,,no
HC18779,,,,189,-255.57,-256.011,,no
HC18780,ENSG00000155313,NM_013396,USP25,2502,-3373.96,-3375.73,1,yes
HC18781,ENSG00000112837,,,1158,-1599.43,-1602.21,1,no
HC18782,ENSG00000154736,NM_007038,ADAMTS5,81,,,,yes
HC18783,,,,420,-616.177,-616.177,1,no
HC18784,ENSG00000156299,NM_003253,TIAM1,3948,-5391.62,-5399.95,1,yes
HC18785,ENSG00000142149,NM_014586,HUNK,807,-1081.88,-1087.46,1,yes
HC18786,ENSG00000154723,NM_001685,ATP5J,276,-394.683,-395.882,1,yes
HC18787,ENSG00000154727,NM_002040,GABPA,1161,-1540.1,-1541.42,,yes
HC18788,ENSG00000154719,NM_017446,MRPL39,747,-1047,-1047.41,1,yes
HC18789,ENSG00000156256,NM_006447,USP16,2247,-3001.68,-3002.55,1,yes
HC18790,ENSG00000156239,NM_013240,N6AMT1,621,-869.972,-870.062,1,yes
HC18791,ENSG00000188900,NM_015565,,1836,-2466.26,-2467.8,1,yes
HC18792,ENSG00000156253,NM_016940,C21orf6,591,-811.435,-811.437,0.644783,yes
HC18793,ENSG00000154639,NM_001338,,855,-1176.54,-1183.26,1,yes
HC18794,ENSG00000154640,NM_006806,BTG3,135,,,,yes
HC18795,ENSG00000154642,NM_017447,C21orf91,525,-693.644,-693.644,,yes
HC18796,ENSG00000154645,NM_024944,CHODL,81,,,,yes
HC18797,ENSG00000154646,NM_002772,PRSS7,1176,-1599.43,-1599.45,1,yes
HC18798,ENSG00000156273,"NM_001186,NM_206866",BACH1,2169,-2958.12,-2961.08,1,yes
HC18799,,NM_020152,C21orf7,234,-297.587,-297.587,,yes
HC18800,ENSG00000078304,NM_002719,PPP2R5C,870,-1159.04,-1160.26,,yes
HC18801,ENSG00000171189,"NM_000830,NM_175611",GRIK1,1026,-1407.5,-1412.64,1,yes
HC18802,ENSG00000159200,"NM_004414,NM_203418",DSCR1,477,-651.113,-651.328,,yes
HC18803,ENSG00000159197,NM_172201,C21orf82,366,-498.944,-499.965,1,yes
HC18804,,,KCNE1,363,-509.556,-513.278,1,yes
HC18805,ENSG00000159212,NM_053277,,948,-1320.93,-1321.19,1,yes
HC18806,ENSG00000159110,NM_207585,IL10RB,519,-708.503,-709.575,0.187664,yes
HC18807,ENSG00000159113,NM_000628,IL10RB,753,-1042.07,-1043.96,1,yes
HC18808,ENSG00000144619,NM_175607,,1275,-1731.53,-1731.76,1,yes
HC18809,ENSG00000159131,NM_000819,GART,2367,-3211.67,-3212,1,yes
HC18810,ENSG00000142188,NM_006134,C21orf4,234,-299.86,-299.86,,yes
HC18811,,,SON,6105,-8334.19,-8336.85,1,yes
HC18812,,,CRYZL1,714,-941.931,-943.325,,yes
HC18813,ENSG00000142183,NM_003024,ITSN1,144,,,,yes
HC18814,ENSG00000047648,NM_013423,ARHGAP6,825,-1118.58,-1119.78,,yes
HC18815,ENSG00000125363,"NM_001142,NM_182680",AMELX,522,-654.153,-654.153,,yes
HC18816,ENSG00000004961,NM_005333,HCCS,705,-963.698,-964.734,1,yes
HC18817,ENSG00000159082,NM_003895,SYNJ1,3399,-4662.92,-4678.87,1,yes
HC18818,ENSG00000166984,NM_144659,FLJ10932,345,-500.835,-500.837,1,yes
HC18819,ENSG00000115290,NM_004490,GRB14,846,-1145.12,-1146.44,,yes
HC18820,ENSG00000166979,NM_058187,,1077,-1492.81,-1492.85,1,yes
HC18821,ENSG00000159079,NM_021254,C21orf59,555,-766.432,-769.98,1,yes
HC18822,ENSG00000159055,NM_018944,C21orf45,261,-347.708,-347.708,,yes
HC18823,ENSG00000112742,NM_003318,TTK,1284,-1729.77,-1730.41,1,yes
HC18824,ENSG00000118423,NM_031469,SH3BGRL2,261,-350.475,-351.707,,yes
HC18825,,,,447,-670.535,-670.68,0.255823,no
HC18826,ENSG00000118402,NM_022726,ELOVL4,492,-663.135,-663.135,,yes
HC18827,ENSG00000137756,NM_001225,CASP4,1065,-1463.34,-1463.35,0.618862,yes
HC18828,ENSG00000135338,NM_181714,,1854,-2472.27,-2472.64,1,yes
HC18829,ENSG00000073464,NM_001830,CLCN4,1848,-2488.06,-2494.98,1,yes
HC18830,ENSG00000146950,NM_001649,APXL,3111,-4395.17,-4397.14,1,yes
HC18831,ENSG00000047644,NM_015691,KIAA1280,2031,-2751.96,-2756.92,1,yes
HC18832,ENSG00000157557,NM_005239,ETS2,1110,-1524.29,-1529.34,1,yes
HC18833,ENSG00000184029,NM_005867,DSCR4,246,-343.5,-345.814,,yes
HC18834,ENSG00000157554,"NM_004449,NM_182918",ERG,1164,-1568.34,-1574.05,1,yes
HC18835,ENSG00000183036,NM_006198,PCP4,177,-226.831,-226.831,,yes
HC18836,ENSG00000183778,"NM_006057,NM_033170,NM_033171,NM_033172,NM_033173",B3GALT5,771,-1093.88,-1096.63,1,yes
HC18837,ENSG00000185437,NM_007341,SH3BGR,369,-511.782,-512.556,,yes
HC18838,,,HMGN1,240,-313.145,-313.544,,no
HC18839,ENSG00000182093,NM_004627,WRB,324,-434.75,-437.505,,yes
HC18840,ENSG00000183527,NM_003720,DSCR2,303,-424.746,-425.13,1,yes
HC18841,ENSG00000157578,NM_152505,MGC33295,510,-656.131,-657.431,,yes
HC18842,ENSG00000152578,NM_000829,GRIA4,243,-335.249,-335.587,,yes
HC18843,,NM_002240,KCNJ6,852,-1154.93,-1157.41,,yes
HC18844,ENSG00000157538,NM_006052,DSCR3,606,-848.002,-853.054,1,yes
HC18845,ENSG00000157540,"NM_001396,NM_130436",DYRK1A,1512,-2081.83,-2090.5,1,no
HC18846,ENSG00000182670,NM_003316,TTC3,4914,-6756.45,-6756.77,1,yes
HC18847,ENSG00000184012,NM_005656,TMPRSS2,1032,-1445.17,-1445.24,0.372747,yes
HC18848,ENSG00000157601,NM_002462,MX1,282,-386.957,-387.188,,yes
HC18849,ENSG00000134115,NM_014461,CNTN6,318,-441.939,-444.404,,yes
HC18850,ENSG00000182240,NM_012105,BACE2,819,-1141.68,-1145.5,1,yes
HC18851,ENSG00000183421,NM_020639,ANKRD3,1659,-2201.61,-2215.89,1,yes
HC18852,,,,219,-321.823,-321.922,0.501259,no
HC18853,ENSG00000183844,NM_058186,FAM3B,504,-688.069,-688.386,,yes
HC18854,,,PRDM15,510,-725.301,-725.393,1,no
HC18855,ENSG00000157617,,,1224,-1709.3,-1711.27,1,yes
HC18856,ENSG00000183857,,,720,-1036.99,-1037.03,1,no
HC18857,ENSG00000160285,"NM_001001438,NM_002340",LSS,1749,-2387.69,-2394.46,1,yes
HC18858,ENSG00000160299,NM_006031,PCNT2,8700,-12058.6,-12063.5,1,yes
HC18859,ENSG00000160310,"NM_001535,NM_206962",HRMT1L1,660,-895.484,-898.684,1,yes
HC18860,ENSG00000142173,NM_001849,COL6A2,2355,-3101.38,-3128.59,1,yes
HC18861,ENSG00000160282,"NM_006657,NM_206965",FTCD,546,-720.586,-721.742,1,yes
HC18862,ENSG00000182362,XM_372879,,168,-222.416,-222.416,,no
HC18863,ENSG00000160307,NM_006272,S100B,267,-347.703,-350.215,,yes
HC18864,ENSG00000138594,NM_014547,TMOD3,864,-1150.02,-1150.46,1,yes
HC18865,ENSG00000160305,"NM_015151,NM_206889,NM_206890,NM_206891",DIP2,483,-642.107,-642.523,,yes
HC18866,ENSG00000160179,"NM_004915,NM_016818",ABCG1,1878,-2496.28,-2505.75,1,yes
HC18867,,NM_005423,TFF2,216,-297.156,-299.788,,yes
HC18868,,NM_003225,TFF1,234,-320.676,-320.934,,yes
HC18869,,NM_003226,TFF3,144,,,,yes
HC18870,,,TMPRSS3,849,-1199.83,-1203.3,1,yes
HC18871,ENSG00000160185,NM_018961,UBASH3A,1542,-2157.89,-2161.92,1,yes
HC18872,,,LOC123169,1746,-2294.04,-2295.34,1,yes
HC18873,,NM_021075,NDUFV3,1392,-1918.68,-1920.83,1,yes
HC18874,ENSG00000160193,"NM_018669,NM_033661",WDR4,879,-1215.01,-1216.1,1,yes
HC18875,ENSG00000160191,"NM_001001567,NM_002606",PDE9A,1068,-1442.98,-1451.31,1,yes
HC18876,ENSG00000014442,NM_001112,ADARB1,2037,-2761.46,-2762.48,1,yes
HC18877,,,SLC19A1,1023,-1483.18,-1484.01,1,yes
HC18878,ENSG00000186866,"NM_015227,NM_133634,NM_133635",C21orf80,696,-947.565,-948.169,1,yes
HC18879,,NM_001848,COL6A1,1794,-2421.86,-2427.24,1,yes
HC18880,ENSG00000183570,NM_020528,PCBP3,612,-828.659,-837.632,1,yes
HC18881,,,,42,,,,no
HC18882,ENSG00000160199,"NM_004571,NM_197976",PKNOX1,957,-1301.5,-1305.1,1,yes
HC18883,ENSG00000160202,NM_000394,CRYAA,513,-635.103,-637.084,,yes
HC18884,ENSG00000160200,NM_000071,CBS,1164,-1517.21,-1519.4,1,yes
HC18885,ENSG00000160201,NM_006758,U2AF1,567,-765.861,-768.274,,no
HC18886,ENSG00000160207,NM_007031,HSF2BP,570,-759.337,-759.707,,yes
HC18887,ENSG00000160209,NM_003681,PDXK,669,-887.21,-888.504,1,yes
HC18888,ENSG00000140280,NM_153374,MGC35274,372,-501.103,-503.607,,yes
HC18889,ENSG00000160214,NM_003683,D21S2056E,819,-1113.64,-1122.43,1,yes
HC18890,ENSG00000160213,NM_000100,CSTB,228,-303.317,-303.615,,yes
HC18891,ENSG00000160208,XM_371417,,1737,-2387.18,-2390.01,1,no
HC18892,ENSG00000160216,NM_020132,AGPAT3,846,-1163.63,-1170.53,1,yes
HC18893,ENSG00000142178,NM_173354,,1422,-1915.3,-1925.16,1,yes
HC18894,ENSG00000160224,NM_000383,AIRE,1071,-1480.6,-1486.47,1,yes
HC18895,ENSG00000160221,NM_004649,C21orf33,678,-920.777,-923.974,1,yes
HC18896,ENSG00000160220,NM_005049,PWP2H,2406,-3265.69,-3273.51,1,yes
HC18897,ENSG00000141959,NM_002626,PFKL,1209,-1573.85,-1595.5,1,yes
HC18898,,,SMT3H1,216,-260.078,-262.368,,yes
HC18899,ENSG00000160255,NM_000211,ITGB2,1782,-2372.92,-2395.83,1,yes
HC18900,ENSG00000160256,NM_058190,C21orf70,396,-516.009,-522.908,1,no
HC18901,ENSG00000142185,NM_003307,TRPM2,576,-776.42,-777.161,1,yes
HC18902,ENSG00000142182,NM_013369,DNMT3L,873,-1211.53,-1213.16,1,yes
HC18903,ENSG00000160226,NM_004928,C21orf2,477,-613.759,-613.972,,yes
HC18904,ENSG00000183255,NM_004339,PTTG1IP,423,-596.538,-597.807,1,yes
HC18905,,,,546,-756.145,-756.385,1,yes
HC18906,ENSG00000090266,NM_004546,NDUFB2,312,-431.578,-432.335,,yes
HC18907,ENSG00000090263,"NM_016071,NM_053035",MRPS33,246,-343.464,-346.005,,yes
HC18908,ENSG00000146966,XM_374538,,2277,-3146.93,-3154.79,1,no
HC18909,ENSG00000133597,NM_052853,AARF,1185,-1610.37,-1610.75,1,yes
HC18910,ENSG00000089248,NM_006817,C12orf8,621,-807.244,-807.493,,yes
HC18911,ENSG00000111275,NM_000690,ALDH2,1194,-1590.35,-1597.29,1,yes
HC18912,ENSG00000089022,"NM_003668,NM_139078",MAPKAPK5,1104,-1499.46,-1500.38,1,yes
HC18913,,,FLJ30092,4002,-5369.47,-5384.6,1,no
HC18914,ENSG00000135439,NM_014770,CENTG1,1890,-2572.75,-2574.2,1,yes
HC18915,ENSG00000135452,NM_005981,SAS,627,-846.598,-847.778,,yes
HC18916,,,,90,,,,yes
HC18917,ENSG00000135446,NM_000075,CDK4,717,-974.424,-975.527,,yes
HC18918,ENSG00000188713,,,1023,-1421.94,-1424.42,1,no
HC18919,ENSG00000123297,NM_005726,TSFM,708,-992.781,-993.837,1,yes
HC18920,ENSG00000123427,"NM_015433,NM_206914",DKFZP586D0919,300,-402.135,-404.906,,yes
HC18921,ENSG00000135407,NM_006576,AVIL,756,-1039.41,-1039.44,0.379086,yes
HC18922,ENSG00000139266,NM_138396,LOC92979,312,-430.13,-430.764,,yes
HC18923,ENSG00000135506,NM_006812,OS-9,1587,-2096.88,-2099.26,,yes
HC18924,ENSG00000175215,NM_005730,OS4,720,-977.236,-981.164,1,yes
HC18925,ENSG00000037897,NM_005371,CYP27B1,744,-1030.93,-1031.02,1,yes
HC18926,ENSG00000129535,NM_006177,NRL,375,-502.42,-504.772,,yes
HC18927,ENSG00000100889,NM_004563,PCK2,1476,-2033.04,-2036.22,1,yes
HC18928,ENSG00000129559,NM_006156,NEDD8,102,,,,yes
HC18929,ENSG00000182338,NM_006084,,969,-1359.86,-1359.95,0.441495,yes
HC18930,ENSG00000092010,NM_006263,PSME1,603,-779.023,-779.023,,yes
HC18931,ENSG00000100911,NM_002818,PSME2,378,-498.11,-498.11,,no
HC18932,ENSG00000168986,NM_181657,LTB4R,597,-803.023,-804.855,1,yes
HC18933,ENSG00000100968,NM_004554,NFATC4,1599,-2184.31,-2185.31,1,yes
HC18934,ENSG00000136305,NM_014430,CIDEB,471,-654.332,-654.339,1,yes
HC18935,ENSG00000129465,NM_006871,RIPK3,708,-982.381,-984.344,1,yes
HC18936,ENSG00000100949,"NM_004581,NM_182836",RABGGTA,489,-661.782,-662.748,1,yes
HC18937,,,,330,-460.225,-460.245,1,yes
HC18938,ENSG00000100448,NM_001911,CTSG,747,-1079.47,-1079.81,1,yes
HC18939,ENSG00000168952,NM_014178,STXBP6,453,-614.895,-616.12,,yes
HC18940,ENSG00000157379,NM_138452,DHRS1,897,-1253.12,-1254.82,1,yes
